Customer_ID, Name             , Gender, Age, Phone     , Email                         , UPI_ID                         , Bank                , IFSC       , Account_Number, Aadhaar_Number, City     , Balance_INR
          1, Sai Rathod       , Other ,  30, 9238587648, sairathod4770@gmail.com       , sairathod1684@okaxis           , Canara Bank         , NVGS3083561,   109235000000,   949291000000, Ahmedabad,      373914
          2, Kiara Banerjee   , Male  ,  62, 9337363098, kiarabanerjee9906@gmail.com   , kiarabanerjee8642@okkotak      , Kotak Mahindra      , EUBK7275037,   266488000000,   994024000000, Mumbai   ,      412709
          3, Krishna Kapoor   , Female,  73, 9322879663, krishnakapoor1556@gmail.com   , krishnakapoor2827@okyesbank    , Canara Bank         , VYRI7458184,    11523378762,   369550000000, Ahmedabad,      475124
          4, Riya Banerjee    , Other ,  34, 9235331651, riyabanerjee4528@gmail.com    , riyabanerjee9876@oksbi         , HDFC                , CFKW6229797,   627056000000,   480928000000, Hyderabad,      339081
          5, Ananya Gowda     , Female,  55, 9454382187, ananyagowda2581@gmail.com     , ananyagowda1848@okicici        , Punjab National Bank, ARMR2787828,   353249000000,    50795815929, Kolkata  ,       22436
          6, Krishna Reddy    , Female,  19, 9892002317, krishnareddy143@gmail.com     , krishnareddy8254@okkotak       , ICICI               , WRLZ3478594,   719461000000,   833623000000, Bengaluru,      175390
          7, Vivaan Mukherjee , Female,  34, 9235951534, vivaanmukherjee5517@gmail.com , vivaanmukherjee8590@okhdfcbank , Axis Bank           , JOWI5082687,   795209000000,   948195000000, Bengaluru,      415340
          8, Reyansh Patel    , Other ,  61, 9665955320, reyanshpatel8511@gmail.com    , reyanshpatel9557@okaxis        , ICICI               , LZWP6045127,   722599000000,   754873000000, Chennai  ,      381065
          9, Aarav Mukherjee  , Female,  43, 9228277299, aaravmukherjee3414@gmail.com  , aaravmukherjee7799@okhdfcbank  , SBI                 , QWPZ1086288,   992862000000,   542029000000, Mumbai   ,       15745
         10, Diya Trivedi     , Other ,  72, 9577998876, diyatrivedi9657@gmail.com     , diyatrivedi6895@oksbi          , ICICI               , YDHT3875548,    50242845724,   310389000000, Kolkata  ,      310027
         11, Shaurya Agarwal  , Male  ,  55, 9926317104, shauryaagarwal4939@gmail.com  , shauryaagarwal8672@okicici     , Kotak Mahindra      , LFEJ6849897,   599090000000,   770771000000, Chennai  ,      399469
         12, Kiara Jain       , Male  ,  54, 9984193764, kiarajain4052@gmail.com       , kiarajain1523@oksbi            , Kotak Mahindra      , NQQH0959444,   718149000000,    13575789514, Hyderabad,      472694
         13, Riya Mukherjee   , Other ,  22, 9346476687, riyamukherjee5290@gmail.com   , riyamukherjee1238@oksbi        , Axis Bank           , IYYC5817690,   805370000000,   113219000000, Delhi    ,      112446
         14, Sara Reddy       , Female,  42, 9756749169, sarareddy6529@gmail.com       , sarareddy2568@okyesbank        , Canara Bank         , UEPF4514394,    15576583956,   481401000000, Pune     ,      480254
         15, Arjun Chauhan    , Male  ,  26, 9297531606, arjunchauhan1857@gmail.com    , arjunchauhan5190@oksbi         , Punjab National Bank, XFBF1489754,   800731000000,   420668000000, Chennai  ,      108341
         16, Sai Mehta        , Male  ,  45, 9996923338, saimehta4612@gmail.com        , saimehta3393@okhdfcbank        , SBI                 , ORJC7310728,   357778000000,   338948000000, Hyderabad,      472279
         17, Sai Yadav        , Other ,  39, 9598369892, saiyadav8194@gmail.com        , saiyadav8590@okaxis            , ICICI               , LHLN7526301,   459103000000,    88273077695, Kolkata  ,       94589
         18, Vihaan Pillai    , Other ,  46, 9257037517, vihaanpillai9825@gmail.com    , vihaanpillai8910@okyesbank     , ICICI               , AQAY9175173,    71600115584,   680300000000, Pune     ,      275935
         19, Ira Mehta        , Other ,  52, 9006927870, iramehta863@gmail.com         , iramehta1595@okaxis            , Kotak Mahindra      , PWHV7822117,   864405000000,   711810000000, Bengaluru,      366433
         20, Vivaan Rathod    , Other ,  72, 9050754530, vivaanrathod8237@gmail.com    , vivaanrathod2515@okyesbank     , SBI                 , IQJF8421031,   671570000000,   875281000000, Hyderabad,       53609
         21, Kiara Kapoor     , Other ,  37, 9698338393, kiarakapoor2902@gmail.com     , kiarakapoor2593@okicici        , SBI                 , CKXB7002742,   875663000000,   600868000000, Kolkata  ,      356066
         22, Diya Singh       , Other ,  22, 9738748793, diyasingh5403@gmail.com       , diyasingh1695@oksbi            , Punjab National Bank, AXTC4289651,   411283000000,    12111261762, Hyderabad,      416620
         23, Kiara Reddy      , Other ,  56, 9303745349, kiarareddy4880@gmail.com      , kiarareddy8633@okaxis          , Kotak Mahindra      , ZXNG2099053,   463925000000,   898022000000, Pune     ,      249636
         24, Aadhya Trivedi   , Female,  61, 9782930435, aadhyatrivedi5709@gmail.com   , aadhyatrivedi8826@okicici      , SBI                 , FEKZ8180652,   549253000000,   640327000000, Delhi    ,       27417
         25, Vihaan Yadav     , Female,  49, 9595262590, vihaanyadav4829@gmail.com     , vihaanyadav8520@okkotak        , HDFC                , OCEN1069882,   436273000000,   834717000000, Pune     ,      474190
         26, Krishna Gowda    , Female,  56, 9768271809, krishnagowda375@gmail.com     , krishnagowda5485@okicici       , Kotak Mahindra      , SVPV3313436,   831243000000,   125002000000, Kolkata  ,       50531
         27, Vivaan Khanna    , Female,  27, 9690503612, vivaankhanna5893@gmail.com    , vivaankhanna3428@okyesbank     , Punjab National Bank, FUDC8890269,   142041000000,   755963000000, Chennai  ,      339180
         28, Shaurya Gowda    , Male  ,  57, 9358356352, shauryagowda3024@gmail.com    , shauryagowda2317@okhdfcbank    , Punjab National Bank, DYMA4478522,   400658000000,   408038000000, Kolkata  ,      184963
         29, Ira Mukherjee    , Female,  34, 9493656516, iramukherjee2224@gmail.com    , iramukherjee6785@oksbi         , ICICI               , WGYB6383856,   501718000000,   396759000000, Ahmedabad,      306510
         30, Vivaan Iyer      , Male  ,  54, 9763348414, vivaaniyer5111@gmail.com      , vivaaniyer9237@okaxis          , Axis Bank           , TFGC0026942,    37868980440,   575393000000, Hyderabad,       56667
         31, Vihaan Pillai    , Male  ,  32, 9297991343, vihaanpillai8738@gmail.com    , vihaanpillai1387@okyesbank     , Kotak Mahindra      , CYUY9705543,   642979000000,   450086000000, Pune     ,      160659
         32, Myra Jain        , Male  ,  26, 9493203806, myrajain8028@gmail.com        , myrajain4619@okhdfcbank        , HDFC                , CTNM5325922,   117751000000,    14449236858, Hyderabad,      122250
         33, Krishna Pillai   , Other ,  49, 9275094723, krishnapillai8629@gmail.com   , krishnapillai3457@oksbi        , Axis Bank           , CSVB9244240,   199016000000,   337509000000, Delhi    ,      280337
         34, Krishna Agarwal  , Male  ,  40, 9656881235, krishnaagarwal3441@gmail.com  , krishnaagarwal3304@okicici     , Canara Bank         , VJLS7910805,   910511000000,   305746000000, Chennai  ,      458419
         35, Jiya Yadav       , Male  ,  28, 9457158407, jiyayadav3720@gmail.com       , jiyayadav7683@okhdfcbank       , Kotak Mahindra      , SZYM4516460,   247169000000,   165976000000, Chennai  ,      118700
         36, Kiara Nair       , Male  ,  30, 9373784418, kiaranair8797@gmail.com       , kiaranair3777@okaxis           , Kotak Mahindra      , ITMS6378818,   851350000000,   205781000000, Hyderabad,      497511
         37, Ishaan Jain      , Other ,  35, 9321238594, ishaanjain7246@gmail.com      , ishaanjain8487@okkotak         , Canara Bank         , VTMN0297417,    68523074075,   255449000000, Bengaluru,      139000
         38, Jiya Sharma      , Female,  66, 9875269575, jiyasharma5126@gmail.com      , jiyasharma6827@okicici         , Punjab National Bank, BUCQ8677295,   976808000000,   554268000000, Kolkata  ,      289807
         39, Sai Mehta        , Female,  73, 9939667152, saimehta5991@gmail.com        , saimehta8325@okaxis            , HDFC                , QDAY7828502,   642941000000,   483237000000, Mumbai   ,      197554
